Stimulus_Practice,Direction,Number,Background,Format,repeat_spatial_practice.thisRepN,repeat_spatial_practice.thisTrialN,repeat_spatial_practice.thisN,repeat_spatial_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,Stimulus,direction,number,format,key_resp_7.keys,key_resp_7.rt,key_resp_6.keys,key_resp_6.rt,key_resp_11.keys,key_resp_11.rt,key_resp_2.keys,key_resp_2.rt,key_resp_12.keys,key_resp_12.rt,key_resp_14.keys,key_resp_14.rt,key_resp_13.keys,key_resp_13.rt,direction_response.keys,direction_response.rt,date,frameRate,expName,participant,Scr or Whi,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,0.55157757923,,,,,,,,,,,,,,,2018_Aug_07_1028,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_1_WHI.jpg,ahead,1,_WHI,word,0,0,0,0,0,0,0,8,,,,,,,,,,,,,,,,,,,s,0.529126592213,f,0.389684402151,,,,,,,,,,,2018_Aug_07_1028,None,Arrows_VVA_Direction,1001,Whi,
right_word_2_WHI.jpg,right,2,_WHI,word,0,0,0,0,0,1,1,3,,,,,,,,,,,,,,,,,,,,,a,0.63308802899,,,,,,,,,,,2018_Aug_07_1028,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_2_WHI.jpg,ahead,2,_WHI,word,0,0,0,0,0,2,2,7,,,,,,,,,,,,,,,,,,,,,f,0.246902561979,,,,,,,,,,,2018_Aug_07_1028,None,Arrows_VVA_Direction,1001,Whi,
left_word_3_WHI.jpg,left,3,_WHI,word,0,0,0,0,0,3,3,2,,,,,,,,,,,,,,,,,,,,,a,0.113302604062,,,,,,,,,,,2018_Aug_07_1028,None,Arrows_VVA_Direction,1001,Whi,
right_word_1_WHI.jpg,right,1,_WHI,word,0,0,0,0,0,4,4,6,,,,,,,,,,,,,,,,,,,,,f,0.147154380102,,,,,,,,,,,2018_Aug_07_1028,None,Arrows_VVA_Direction,1001,Whi,
ahead_word_3_WHI.jpg,ahead,3,_WHI,word,0,0,0,0,0,5,5,4,,,,,,,,,,,,,,,,,,,,,a,0.140963198617,,,,,,,,,,,2018_Aug_07_1028,None,Arrows_VVA_Direction,1001,Whi,
left_word_2_WHI.jpg,left,2,_WHI,word,0,0,0,0,0,6,6,5,,,,,,,,,,,,,,,,,,,,,f,0.112411346519,,,,,,,,,,,2018_Aug_07_1028,None,Arrows_VVA_Direction,1001,Whi,
right_word_3_WHI.jpg,right,3,_WHI,word,0,0,0,0,0,7,7,1,,,,,,,,,,,,,,,,,,,,,a,0.114311683225,,,,,,,,,,,2018_Aug_07_1028,None,Arrows_VVA_Direction,1001,Whi,
left_word_1_WHI.jpg,left,1,_WHI,word,0,0,0,0,0,8,8,0,,,,,,,,,,,,,,,,,,,,,None,,,,,,,,,,,,2018_Aug_07_1028,None,Arrows_VVA_Direction,1001,Whi,
